booking_id,guest_id,room_id,check_in,check_out,stay_days,total_amount
122,579,30,2023-08-28,2023-09-01,4,14000
123,1053,131,2023-09-14,2023-09-19,5,12500
124,905,154,2023-10-17,2023-10-23,6,45000
125,515,174,2023-07-23,2023-07-24,1,7500
126,1165,44,2023-11-16,2023-11-23,7,35000
127,471,137,2023-08-18,2023-08-23,5,50000
128,809,172,2023-08-27,2023-09-03,7,52500
129,47,130,2023-12-13,2023-12-19,6,60000
130,1605,58,2023-12-15,2023-12-19,4,10000
131,1354,56,2023-09-13,2023-09-20,7,24500
132,2009,162,2023-07-04,2023-07-11,7,70000
133,1791,198,2023-10-13,2023-10-20,7,70000
134,397,3,2023-10-07,2023-10-08,1,7500
135,2174,152,2023-09-17,2023-09-23,6,15000
136,811,188,2023-08-12,2023-08-14,2,20000
137,2764,194,2023-05-15,2023-05-22,7,17500
138,1378,146,2023-05-24,2023-05-28,4,10000
139,616,180,2023-09-13,2023-09-17,4,14000
140,278,181,2023-12-23,2023-12-29,6,21000
141,491,125,2023-04-01,2023-04-03,2,7000
142,825,111,2023-12-29,2023-12-30,1,3500
143,1353,115,2023-05-11,2023-05-12,1,7500
144,1299,5,2023-08-31,2023-09-07,7,17500
145,328,155,2023-12-22,2023-12-24,2,15000
146,2075,190,2023-12-16,2023-12-18,2,20000
147,2730,157,2023-11-25,2023-11-29,4,14000
148,169,33,2023-09-02,2023-09-05,3,7500
149,367,16,2023-10-15,2023-10-22,7,17500
150,524,72,2023-12-11,2023-12-13,2,10000
151,2780,117,2023-11-23,2023-11-24,1,7500
152,1306,133,2023-06-30,2023-07-07,7,35000
153,2317,156,2023-10-04,2023-10-07,3,10500
154,2839,97,2023-11-06,2023-11-08,2,20000
155,117,30,2023-11-01,2023-11-06,5,17500
156,2599,161,2023-12-16,2023-12-17,1,5000
157,2694,46,2023-04-15,2023-04-21,6,60000
158,106,146,2023-06-01,2023-06-05,4,10000
159,2890,17,2023-12-18,2023-12-24,6,60000
160,1949,186,2023-09-25,2023-10-01,6,45000
161,2198,6,2023-11-22,2023-11-29,7,35000
162,1676,99,2023-10-06,2023-10-09,3,10500
163,1687,176,2023-11-16,2023-11-18,2,7000
164,601,141,2023-11-12,2023-11-17,5,12500
165,251,9,2023-06-23,2023-06-27,4,10000
166,898,153,2023-12-06,2023-12-08,2,15000
167,1075,186,2023-07-06,2023-07-09,3,22500
168,742,131,2023-12-23,2023-12-25,2,5000
169,2680,187,2023-12-12,2023-12-19,7,24500
170,704,147,2023-08-02,2023-08-04,2,10000
171,615,73,2023-11-26,2023-11-30,4,14000
172,133,67,2023-09-30,2023-10-01,1,10000
173,2654,196,2023-11-08,2023-11-11,3,15000
174,1599,29,2023-08-15,2023-08-20,5,50000
175,3369,130,2023-11-15,2023-11-20,5,50000
176,2992,24,2023-05-17,2023-05-23,6,45000
177,356,139,2023-10-04,2023-10-10,6,45000
178,29,163,2023-10-05,2023-10-09,4,20000
179,351,42,2023-11-02,2023-11-04,2,20000
180,1216,160,2023-03-24,2023-03-27,3,22500
181,770,152,2023-09-15,2023-09-21,6,15000
182,1907,26,2023-12-05,2023-12-07,2,10000
183,1358,25,2023-11-19,2023-11-20,1,7500
184,1461,67,2023-12-13,2023-12-15,2,20000
185,1417,38,2023-11-15,2023-11-20,5,12500
186,761,65,2023-10-19,2023-10-22,3,10500
187,3434,123,2023-12-06,2023-12-13,7,52500
188,3072,44,2023-10-16,2023-10-20,4,20000
189,1041,127,2023-12-20,2023-12-22,2,7000
190,1780,131,2023-12-05,2023-12-12,7,17500
191,1740,194,2023-11-21,2023-11-27,6,15000
192,2263,158,2023-03-30,2023-03-31,1,5000
193,1109,11,2023-10-09,2023-10-12,3,22500
194,1371,194,2023-08-06,2023-08-13,7,17500
195,673,167,2023-12-21,2023-12-27,6,21000
196,1701,115,2023-12-11,2023-12-15,4,30000
197,31,11,2023-07-29,2023-07-30,1,7500
198,539,2,2023-10-27,2023-11-01,5,37500
199,3130,133,2023-12-05,2023-12-10,5,25000
200,1044,61,2023-07-03,2023-07-07,4,10000
201,2034,25,2023-11-12,2023-11-13,1,7500
202,2976,26,2023-09-20,2023-09-21,1,5000
203,819,5,2023-09-06,2023-09-09,3,7500
204,921,57,2023-10-07,2023-10-10,3,22500
205,2380,94,2023-09-26,2023-09-28,2,15000
206,1229,185,2023-11-02,2023-11-08,6,45000
207,2435,124,2023-06-15,2023-06-19,4,10000
208,1439,69,2023-11-02,2023-11-08,6,21000
209,3233,200,2023-08-12,2023-08-14,2,5000
210,212,16,2023-11-07,2023-11-11,4,10000
211,2765,109,2023-11-20,2023-11-21,1,3500
212,942,112,2023-12-28,2023-12-29,1,5000
213,2863,172,2023-12-17,2023-12-19,2,15000
214,2519,128,2023-11-11,2023-11-16,5,37500
215,2748,15,2023-12-24,2023-12-25,1,5000
216,2879,69,2023-12-24,2023-12-25,1,3500
217,3402,24,2023-12-01,2023-12-03,2,15000
218,1799,4,2023-05-06,2023-05-11,5,25000
219,60,55,2023-03-18,2023-03-21,3,7500
220,1024,29,2023-11-24,2023-11-29,5,50000
221,2830,79,2023-10-28,2023-10-29,1,10000
222,1177,21,2023-09-04,2023-09-11,7,52500
223,2105,186,2023-06-22,2023-06-26,4,30000
224,2206,19,2023-12-16,2023-12-23,7,52500
225,1464,77,2023-11-30,2023-12-07,7,52500
226,2494,33,2023-08-20,2023-08-21,1,2500
227,929,160,2023-07-16,2023-07-22,6,45000
228,2065,19,2023-09-07,2023-09-10,3,22500
229,613,34,2023-12-12,2023-12-13,1,10000
230,842,88,2023-12-24,2023-12-27,3,10500
231,859,144,2023-12-19,2023-12-20,1,7500
232,592,7,2023-06-18,2023-06-21,3,15000
233,1018,16,2023-12-14,2023-12-20,6,15000
234,524,35,2023-08-21,2023-08-23,2,7000
235,2276,17,2023-07-27,2023-07-28,1,10000
236,3206,27,2023-10-05,2023-10-06,1,5000
237,1090,137,2023-05-23,2023-05-28,5,50000
238,829,166,2023-05-15,2023-05-19,4,10000
239,1990,103,2023-12-22,2023-12-29,7,24500
240,769,101,2023-12-03,2023-12-05,2,5000
241,2991,26,2023-09-14,2023-09-20,6,30000
242,2554,182,2023-09-03,2023-09-09,6,30000
243,767,122,2023-07-07,2023-07-10,3,10500
244,991,29,2023-09-26,2023-09-27,1,10000
245,2280,164,2023-09-18,2023-09-20,2,15000
246,496,24,2023-11-16,2023-11-23,7,52500
247,2550,91,2023-04-16,2023-04-19,3,22500
248,2336,116,2023-05-02,2023-05-04,2,5000
249,137,64,2023-11-25,2023-11-29,4,30000
250,1206,106,2023-09-06,2023-09-09,3,30000
251,926,53,2023-11-28,2023-12-01,3,30000
252,1259,191,2023-11-14,2023-11-21,7,52500
253,433,100,2023-11-22,2023-11-29,7,52500
254,2451,140,2023-11-25,2023-12-02,7,17500
255,939,101,2023-12-16,2023-12-23,7,17500
256,541,114,2023-10-12,2023-10-14,2,20000
257,3436,130,2023-06-29,2023-07-06,7,70000
258,2292,132,2023-10-25,2023-10-27,2,15000
259,3238,23,2023-05-17,2023-05-19,2,15000
260,2931,75,2023-08-03,2023-08-06,3,30000
261,1437,139,2023-08-23,2023-08-25,2,15000
262,2487,50,2023-12-19,2023-12-25,6,60000
263,1738,137,2023-12-25,2023-12-26,1,10000
264,395,191,2023-08-22,2023-08-29,7,52500
265,1102,184,2023-04-20,2023-04-27,7,17500
266,21,138,2023-12-15,2023-12-22,7,52500
267,1235,48,2023-05-28,2023-06-02,5,17500
268,372,50,2023-10-19,2023-10-23,4,40000
269,2012,78,2023-03-04,2023-03-05,1,10000
270,371,163,2023-11-05,2023-11-07,2,10000
271,1682,97,2023-12-24,2023-12-27,3,30000
272,2801,81,2023-09-05,2023-09-12,7,52500
273,2274,6,2023-09-25,2023-10-01,6,30000
274,2115,140,2023-05-11,2023-05-15,4,10000
275,1261,66,2023-08-16,2023-08-23,7,17500
276,407,157,2023-12-17,2023-12-24,7,24500
277,2270,156,2023-10-21,2023-10-25,4,14000
278,1182,160,2023-08-08,2023-08-11,3,22500
279,1368,6,2023-10-13,2023-10-15,2,10000
280,2904,120,2023-10-16,2023-10-22,6,60000
281,1314,168,2023-06-09,2023-06-16,7,35000
282,1739,24,2023-05-15,2023-05-19,4,30000
283,1337,107,2023-06-07,2023-06-11,4,14000
284,2759,151,2023-11-09,2023-11-12,3,10500
285,746,163,2023-08-01,2023-08-06,5,25000
286,1066,28,2023-11-10,2023-11-12,2,10000
287,2166,53,2023-04-15,2023-04-20,5,50000
288,993,49,2023-10-22,2023-10-29,7,17500
289,2111,175,2023-11-26,2023-11-27,1,3500
290,3365,7,2023-12-23,2023-12-27,4,20000
291,1959,190,2023-04-09,2023-04-11,2,20000
292,486,132,2023-04-27,2023-04-28,1,7500
293,1031,156,2023-11-21,2023-11-24,3,10500
294,876,111,2023-12-24,2023-12-26,2,7000
295,1940,83,2023-11-24,2023-11-27,3,15000
296,872,67,2023-10-16,2023-10-23,7,70000
297,1725,199,2023-11-14,2023-11-16,2,15000
298,403,58,2023-11-10,2023-11-13,3,7500
299,210,41,2023-11-07,2023-11-12,5,17500
300,234,25,2023-06-02,2023-06-06,4,30000
301,2841,147,2023-09-23,2023-09-30,7,35000
302,335,80,2023-11-25,2023-11-27,2,7000
303,1215,68,2023-10-14,2023-10-21,7,35000
304,284,123,2023-12-09,2023-12-11,2,15000
305,2387,30,2023-10-17,2023-10-20,3,10500
306,1893,105,2023-12-21,2023-12-24,3,22500
307,1456,2,2023-10-16,2023-10-22,6,45000
308,2811,168,2023-10-11,2023-10-14,3,15000
309,3294,2,2023-10-26,2023-10-28,2,15000
310,1373,183,2023-10-13,2023-10-19,6,30000
311,2492,97,2023-12-15,2023-12-21,6,60000
312,1260,127,2023-07-04,2023-07-09,5,17500
313,2203,1,2023-12-09,2023-12-13,4,30000
314,2337,40,2023-12-30,2023-12-31,1,2500
315,1824,197,2023-08-19,2023-08-25,6,21000
316,2824,57,2023-11-20,2023-11-22,2,15000
317,137,120,2023-03-29,2023-04-01,3,30000
318,1778,199,2023-12-17,2023-12-22,5,37500
319,1334,84,2023-11-25,2023-11-26,1,10000
320,3395,190,2023-06-24,2023-06-26,2,20000
321,1326,22,2023-12-07,2023-12-14,7,35000
322,235,163,2023-07-11,2023-07-17,6,30000
323,38,136,2023-11-19,2023-11-24,5,12500
324,1243,92,2023-12-23,2023-12-25,2,7000
325,3151,127,2023-08-07,2023-08-08,1,3500
326,1902,52,2023-09-21,2023-09-22,1,5000
327,1825,188,2023-08-20,2023-08-25,5,50000
328,1229,149,2023-11-13,2023-11-18,5,12500
329,1221,10,2023-09-28,2023-10-01,3,10500
330,3193,141,2023-11-09,2023-11-13,4,10000
331,825,46,2023-12-29,2023-12-30,1,10000
332,1416,10,2023-11-28,2023-12-01,3,10500
333,907,12,2023-10-03,2023-10-04,1,5000
334,689,177,2023-11-30,2023-12-03,3,22500
335,1470,118,2023-07-14,2023-07-21,7,52500
336,2101,56,2023-07-26,2023-07-27,1,3500
337,56,118,2023-08-22,2023-08-27,5,37500
338,798,12,2023-12-24,2023-12-27,3,15000
339,2893,180,2023-11-22,2023-11-28,6,21000
340,3307,87,2023-09-27,2023-10-04,7,52500
341,22,75,2023-12-18,2023-12-19,1,10000
342,1117,192,2023-06-11,2023-06-15,4,40000
343,3079,128,2023-08-28,2023-09-04,7,52500
344,874,62,2023-11-27,2023-11-29,2,10000
345,2280,98,2023-12-04,2023-12-11,7,24500
346,1399,36,2023-08-29,2023-09-02,4,14000
347,657,130,2023-12-21,2023-12-28,7,70000
348,1117,114,2023-12-09,2023-12-13,4,40000
349,1679,33,2023-10-14,2023-10-16,2,5000
350,1164,101,2023-11-02,2023-11-09,7,17500
351,3342,91,2023-08-29,2023-09-03,5,37500
352,1015,85,2023-09-26,2023-10-03,7,17500
353,1765,122,2023-12-22,2023-12-28,6,21000
354,1413,141,2023-10-08,2023-10-11,3,7500
355,1881,115,2023-09-01,2023-09-08,7,52500
356,2887,166,2023-12-18,2023-12-21,3,7500
357,62,109,2023-12-04,2023-12-09,5,17500
358,3191,86,2023-09-16,2023-09-17,1,5000
359,1076,91,2023-10-27,2023-11-02,6,45000
360,2385,42,2023-09-22,2023-09-28,6,60000
361,1406,155,2023-12-22,2023-12-29,7,52500
362,1532,106,2023-12-08,2023-12-11,3,30000
363,254,114,2023-12-21,2023-12-22,1,10000
364,1232,19,2023-11-11,2023-11-17,6,45000
365,1574,181,2023-07-31,2023-08-01,1,3500
366,2660,90,2023-05-31,2023-06-01,1,2500
367,1959,170,2023-08-10,2023-08-14,4,30000
368,1632,89,2023-10-19,2023-10-21,2,20000
369,975,6,2023-12-12,2023-12-16,4,20000
370,3499,116,2023-09-27,2023-09-29,2,5000
371,2278,182,2023-12-06,2023-12-08,2,10000
372,1416,89,2023-07-14,2023-07-20,6,60000
373,1882,86,2023-12-13,2023-12-17,4,20000
374,1525,92,2023-12-21,2023-12-24,3,10500
375,1940,133,2023-08-15,2023-08-16,1,5000
376,3386,187,2023-11-29,2023-12-05,6,21000
377,3118,22,2023-07-11,2023-07-14,3,15000
378,2836,179,2023-08-16,2023-08-23,7,24500
379,1317,178,2023-10-01,2023-10-04,3,7500
380,1910,104,2023-06-26,2023-07-03,7,17500
381,1659,54,2023-12-12,2023-12-14,2,5000
382,2290,199,2023-08-21,2023-08-22,1,7500
383,3062,62,2023-08-10,2023-08-16,6,30000
384,2872,135,2023-10-07,2023-10-08,1,7500
385,2749,131,2023-11-25,2023-11-29,4,10000
386,1442,113,2023-07-16,2023-07-20,4,10000
387,158,17,2023-08-22,2023-08-24,2,20000
388,1891,84,2023-09-11,2023-09-16,5,50000
389,3180,187,2023-12-23,2023-12-26,3,10500
390,2225,191,2023-11-16,2023-11-18,2,15000
391,267,102,2023-11-18,2023-11-21,3,15000
392,489,190,2023-11-04,2023-11-06,2,20000
393,996,101,2023-08-25,2023-08-31,6,15000
394,2252,40,2023-08-11,2023-08-14,3,7500
395,2642,181,2023-12-15,2023-12-18,3,10500
396,2351,6,2023-11-24,2023-11-26,2,10000
397,2740,176,2023-07-02,2023-07-09,7,24500
398,1536,177,2023-12-13,2023-12-17,4,30000
399,1773,138,2023-09-02,2023-09-08,6,45000
400,2871,129,2023-07-26,2023-07-30,4,10000
401,2837,37,2023-07-05,2023-07-12,7,17500
402,537,135,2023-12-16,2023-12-17,1,7500
403,2653,94,2023-07-26,2023-07-27,1,7500
404,967,122,2023-09-30,2023-10-03,3,10500
405,3401,12,2023-03-17,2023-03-24,7,35000
406,1764,185,2023-07-29,2023-08-05,7,52500
407,595,167,2023-06-18,2023-06-19,1,3500
408,1420,34,2023-08-03,2023-08-08,5,50000
409,1152,190,2023-11-08,2023-11-15,7,70000
410,1922,103,2023-07-20,2023-07-21,1,3500
411,2123,34,2023-12-11,2023-12-15,4,40000
412,1867,29,2023-08-20,2023-08-27,7,70000
413,2853,81,2023-12-10,2023-12-13,3,22500
414,967,102,2023-09-14,2023-09-19,5,25000
415,2277,194,2023-12-20,2023-12-26,6,15000
416,2763,198,2023-06-12,2023-06-14,2,20000
417,1607,103,2023-11-21,2023-11-27,6,21000
418,3435,157,2023-08-08,2023-08-11,3,10500
419,2372,186,2023-07-24,2023-07-25,1,7500
420,165,61,2023-07-07,2023-07-13,6,15000
421,2503,153,2023-12-03,2023-12-06,3,22500
422,2578,10,2023-12-12,2023-12-15,3,10500
423,481,193,2023-08-16,2023-08-21,5,12500
424,340,193,2023-03-12,2023-03-15,3,7500
425,2514,31,2023-11-18,2023-11-19,1,2500
426,1463,110,2023-12-24,2023-12-28,4,30000
427,3045,154,2023-10-23,2023-10-24,1,7500
428,598,153,2023-12-14,2023-12-21,7,52500
429,1878,133,2023-12-25,2023-12-26,1,5000
430,1700,6,2023-10-23,2023-10-28,5,25000
431,1142,89,2023-08-14,2023-08-21,7,70000
432,2516,161,2023-05-03,2023-05-07,4,20000
433,2897,149,2023-11-24,2023-11-30,6,15000
434,632,84,2023-12-15,2023-12-19,4,40000
435,520,88,2023-11-26,2023-11-27,1,3500
436,2323,97,2023-03-13,2023-03-20,7,70000
437,598,124,2023-12-22,2023-12-24,2,5000
438,1686,46,2023-07-04,2023-07-07,3,30000
439,2189,33,2023-11-26,2023-11-28,2,5000
440,589,155,2023-11-18,2023-11-21,3,22500
441,751,115,2023-09-29,2023-09-30,1,7500
442,1630,48,2023-07-19,2023-07-23,4,14000
443,477,171,2023-12-08,2023-12-09,1,2500
444,3413,57,2023-12-24,2023-12-28,4,30000
445,448,185,2023-09-04,2023-09-06,2,15000
446,202,74,2023-09-16,2023-09-20,4,40000
447,2502,100,2023-12-21,2023-12-25,4,30000
448,2603,119,2023-05-14,2023-05-17,3,30000
449,1210,37,2023-06-07,2023-06-08,1,2500
450,2438,178,2023-09-13,2023-09-14,1,2500
451,3197,79,2023-09-23,2023-09-26,3,30000
452,2224,102,2023-11-19,2023-11-25,6,30000
453,739,106,2023-08-23,2023-08-29,6,60000
454,2596,186,2023-07-24,2023-07-30,6,45000
455,2827,12,2023-06-30,2023-07-02,2,10000
456,551,199,2023-05-23,2023-05-27,4,30000
457,1588,31,2023-12-16,2023-12-21,5,12500
458,3218,169,2023-12-20,2023-12-21,1,5000
459,2176,31,2023-11-22,2023-11-23,1,2500
460,2748,130,2023-12-22,2023-12-29,7,70000
461,1795,43,2023-10-21,2023-10-27,6,45000
462,3395,56,2023-12-08,2023-12-11,3,10500
463,1645,116,2023-08-26,2023-08-28,2,5000
464,1446,47,2023-10-01,2023-10-03,2,7000
465,3058,71,2023-09-24,2023-09-26,2,20000
466,594,116,2023-12-14,2023-12-16,2,5000
467,1896,84,2023-04-17,2023-04-19,2,20000
468,2887,166,2023-12-16,2023-12-18,2,5000
469,2181,139,2023-04-15,2023-04-17,2,15000
470,2424,1,2023-12-04,2023-12-06,2,15000
471,3285,148,2023-03-08,2023-03-15,7,24500
472,2197,88,2023-06-28,2023-06-29,1,3500
473,1310,126,2023-10-06,2023-10-12,6,21000
474,3364,197,2023-10-26,2023-10-30,4,14000
475,1887,55,2023-07-08,2023-07-13,5,12500
476,2712,182,2023-12-12,2023-12-14,2,10000
477,1360,166,2023-12-23,2023-12-24,1,2500
478,2635,179,2023-11-03,2023-11-06,3,10500
479,1565,165,2023-12-04,2023-12-10,6,30000
480,1319,42,2023-09-07,2023-09-10,3,30000
481,387,138,2023-11-10,2023-11-14,4,30000
482,2479,42,2023-11-19,2023-11-21,2,20000
483,1440,26,2023-09-14,2023-09-15,1,5000
484,56,122,2023-12-02,2023-12-04,2,7000
485,2897,158,2023-12-19,2023-12-23,4,20000
486,2139,137,2023-08-19,2023-08-21,2,20000
487,110,49,2023-12-18,2023-12-19,1,2500
488,340,53,2023-07-06,2023-07-11,5,50000
489,905,105,2023-11-06,2023-11-08,2,15000
490,2764,106,2023-06-16,2023-06-23,7,70000
491,1737,134,2023-08-19,2023-08-25,6,15000
492,2287,7,2023-12-19,2023-12-20,1,5000
493,371,37,2023-11-21,2023-11-26,5,12500
494,1361,192,2023-11-14,2023-11-20,6,60000
495,2622,72,2023-12-21,2023-12-26,5,25000
496,2721,66,2023-06-19,2023-06-26,7,17500
497,2748,82,2023-12-23,2023-12-24,1,7500
498,2250,152,2023-10-08,2023-10-13,5,12500
499,2692,77,2023-11-21,2023-11-26,5,37500
500,1426,88,2023-12-01,2023-12-02,1,3500
501,1491,28,2023-03-22,2023-03-23,1,5000
502,2023,125,2023-10-27,2023-10-28,1,3500
503,3114,85,2023-12-01,2023-12-05,4,10000
504,1647,15,2023-05-30,2023-06-01,2,10000
505,2966,64,2023-04-04,2023-04-11,7,52500
506,1095,56,2023-11-08,2023-11-09,1,3500
507,3035,105,2023-06-11,2023-06-18,7,52500
508,1033,60,2023-12-24,2023-12-29,5,12500
509,1841,51,2023-12-06,2023-12-11,5,17500
510,3359,169,2023-11-22,2023-11-27,5,25000
511,1466,14,2023-11-25,2023-11-29,4,20000
512,2805,79,2023-12-24,2023-12-26,2,20000
513,1572,48,2023-07-24,2023-07-28,4,14000
514,1732,190,2023-12-23,2023-12-29,6,60000
515,716,51,2023-10-02,2023-10-08,6,21000
516,426,101,2023-07-07,2023-07-14,7,17500
517,850,10,2023-12-19,2023-12-26,7,24500
518,2002,1,2023-08-13,2023-08-18,5,37500
519,3137,15,2023-09-09,2023-09-13,4,20000
520,3389,148,2023-09-17,2023-09-24,7,24500
521,2153,34,2023-12-02,2023-12-03,1,10000
522,2402,61,2023-06-24,2023-06-30,6,15000
523,1876,65,2023-10-20,2023-10-25,5,17500
524,592,15,2023-06-30,2023-07-07,7,35000
525,1559,109,2023-09-05,2023-09-06,1,3500
526,3441,98,2023-09-27,2023-10-03,6,21000
527,1834,99,2023-12-19,2023-12-26,7,24500
528,2505,10,2023-01-18,2023-01-23,5,17500
529,717,59,2023-10-25,2023-10-31,6,45000
530,1937,20,2023-04-16,2023-04-17,1,10000
531,3202,37,2023-10-24,2023-10-28,4,10000
532,2404,54,2023-10-21,2023-10-22,1,2500
533,3459,9,2023-12-05,2023-12-12,7,17500
534,802,43,2023-09-25,2023-10-01,6,45000
535,3350,70,2023-09-16,2023-09-22,6,15000
536,1568,106,2023-10-13,2023-10-14,1,10000
537,1781,72,2023-12-01,2023-12-08,7,35000
538,2101,172,2023-04-21,2023-04-23,2,15000
539,1349,114,2023-06-05,2023-06-12,7,70000
540,1190,123,2023-10-08,2023-10-13,5,37500
541,299,20,2023-10-28,2023-10-30,2,20000
