room_id,room_type,room_category,price,is_available
72,Single,Standard,5000,0
73,Suite,Premium,3500,0
74,Executive,Luxury,10000,1
75,Double,Standard,10000,1
76,Deluxe,Premium,7500,0
77,Double,Standard,7500,1
78,Single,Standard,10000,1
79,Deluxe,Premium,10000,1
80,Double,Standard,3500,1
81,Double,Standard,7500,1
82,Double,Standard,7500,1
83,Double,Standard,5000,1
84,Deluxe,Premium,10000,1
85,Single,Standard,2500,1
86,Single,Standard,5000,1
87,Suite,Premium,7500,1
88,Suite,Premium,3500,0
89,Double,Standard,10000,1
90,Single,Standard,2500,1
91,Deluxe,Premium,7500,1
92,Single,Standard,3500,1
93,Deluxe,Premium,3500,1
94,Deluxe,Premium,7500,1
95,Single,Standard,2500,1
96,Deluxe,Premium,3500,0
97,Single,Standard,10000,1
98,Single,Standard,3500,1
99,Executive,Luxury,3500,0
100,Double,Standard,7500,1
101,Double,Standard,2500,1
102,Single,Standard,5000,1
103,Double,Standard,3500,1
104,Double,Standard,2500,0
105,Single,Standard,7500,1
106,Single,Standard,10000,1
107,Double,Standard,3500,0
108,Executive,Luxury,5000,1
109,Double,Standard,3500,1
110,Double,Standard,7500,1
111,Double,Standard,3500,1
112,Single,Standard,5000,1
113,Deluxe,Premium,2500,1
114,Double,Standard,10000,1
115,Double,Standard,7500,1
116,Suite,Premium,2500,0
117,Deluxe,Premium,7500,0
118,Double,Standard,7500,1
119,Single,Standard,10000,0
120,Suite,Premium,10000,1
121,Double,Standard,10000,1
122,Double,Standard,3500,0
123,Double,Standard,7500,1
124,Double,Standard,2500,0
125,Double,Standard,3500,1
126,Single,Standard,3500,1
127,Single,Standard,3500,1
128,Suite,Premium,7500,1
129,Double,Standard,2500,1
130,Single,Standard,10000,1
131,Single,Standard,2500,1
132,Single,Standard,7500,1
133,Double,Standard,5000,1
134,Single,Standard,2500,1
135,Suite,Premium,7500,1
136,Double,Standard,2500,1
137,Double,Standard,10000,1
138,Single,Standard,7500,1
139,Single,Standard,7500,1
140,Double,Standard,2500,1
141,Double,Standard,2500,1
142,Suite,Premium,5000,0
143,Single,Standard,10000,1
144,Single,Standard,7500,0
145,Deluxe,Premium,5000,1
146,Double,Standard,2500,0
147,Suite,Premium,5000,1
148,Double,Standard,3500,1
149,Double,Standard,2500,0
150,Double,Standard,7500,1
151,Single,Standard,3500,1
152,Double,Standard,2500,1
153,Single,Standard,7500,1
154,Deluxe,Premium,7500,1
155,Single,Standard,7500,1
156,Double,Standard,3500,0
157,Double,Standard,3500,1
158,Suite,Premium,5000,0
159,Deluxe,Premium,7500,1
160,Single,Standard,7500,1
161,Double,Standard,5000,1
162,Suite,Premium,10000,1
163,Double,Standard,5000,0
164,Double,Standard,7500,1
165,Suite,Premium,5000,1
166,Double,Standard,2500,1
167,Deluxe,Premium,3500,1
168,Single,Standard,5000,1
169,Deluxe,Premium,5000,1
170,Single,Standard,7500,1
171,Suite,Premium,2500,1
172,Single,Standard,7500,1
173,Single,Standard,2500,1
174,Double,Standard,7500,1
175,Suite,Premium,3500,1
176,Executive,Luxury,3500,1
177,Double,Standard,7500,1
178,Single,Standard,2500,1
179,Double,Standard,3500,0
180,Double,Standard,3500,1
181,Double,Standard,3500,1
182,Double,Standard,5000,0
183,Executive,Luxury,5000,0
184,Double,Standard,2500,1
185,Double,Standard,7500,0
186,Suite,Premium,7500,1
187,Double,Standard,3500,0
188,Double,Standard,10000,1
189,Executive,Luxury,5000,1
190,Double,Standard,10000,0
191,Double,Standard,7500,1
192,Single,Standard,10000,1
193,Double,Standard,2500,0
194,Suite,Premium,2500,1
195,Single,Standard,7500,1
196,Suite,Premium,5000,1
197,Single,Standard,3500,1
198,Deluxe,Premium,10000,1
199,Double,Standard,7500,1
200,Double,Standard,2500,1
